Date,Open,High,Low,Close,Volume,Adj Close
2017-04-10,70.550003,72.099998,68.360001,69.07,8462100,69.07
2017-04-03,70.690002,71.419998,69.419998,70.879997,2515500,70.879997
2017-03-27,66.720001,71.190002,66.260002,70.639999,3227700,70.639999
2017-03-20,67.150002,68.559998,64.160004,67.93,4236800,67.93
2017-03-13,72.190002,72.699997,64.32,66.790001,8169900,66.790001
2017-03-06,74.849998,74.849998,71.639999,72.339996,4321400,72.339996
2017-02-27,74.910004,76.650002,73.209999,75.589996,3136300,75.589996
2017-02-21,75.900002,76.459999,73.540001,75.080002,2824000,75.080002
2017-02-13,72.849998,76.300003,72.00,75.959999,2972500,75.959999
2017-02-06,73.400002,74.779999,70.730003,72.599998,3507300,72.599998
2017-01-30,72.989998,73.25,69.339996,73.059998,3675400,73.059998
2017-01-23,74.660004,76.00,72.639999,74.419998,3876100,74.419998
2017-01-17,73.940002,75.480003,72.410004,75.239998,3331400,75.239998
2017-01-09,71.059998,76.75,70.879997,74.32,3349000,74.32
2017-01-03,74.019997,74.019997,69.75,71.370003,2984600,71.370003
2016-12-27,74.779999,75.220001,72.370003,72.879997,1501200,72.879997
2016-12-19,74.25,76.309998,73.769997,74.790001,2170400,74.790001
2016-12-12,74.300003,76.800003,72.00,74.419998,4084000,74.419998
2016-12-05,69.910004,76.129997,68.00,75.169998,3962500,75.169998
2016-11-28,69.949997,70.150002,67.580002,69.269997,3464200,69.269997
2016-11-21,68.220001,70.18,67.760002,70.089996,4785100,70.089996
2016-11-14,60.540001,68.470001,60.369999,68.290001,6370800,68.290001
2016-11-07,57.959999,61.599998,57.549999,60.25,4953100,60.25
2016-10-31,55.619999,57.689999,54.970001,57.23,4492300,57.23
2016-10-24,55.91,56.25,52.209999,55.110001,4410100,55.110001
2016-10-17,53.450001,56.810001,52.439999,55.599998,7749000,55.599998
2016-10-10,53.060001,54.939999,51.34,53.200001,6148400,53.200001
2016-10-03,52.240002,55.25,52.00,52.82,3596100,52.82
2016-09-26,50.529999,52.93,49.279999,52.470001,4685700,52.470001
2016-09-19,51.139999,52.040001,49.299999,50.950001,4169700,50.950001
2016-09-12,51.689999,53.439999,50.369999,51.00,5942100,51.00
2016-09-06,50.970001,54.529999,50.77,52.450001,5409400,52.450001
2016-08-29,47.060001,51.529999,46.810001,51.09,5656000,51.09
2016-08-22,46.950001,47.959999,46.560001,46.869999,2501000,46.869999
2016-08-15,47.16,48.48,46.939999,47.09,3592800,47.09
2016-08-08,48.389999,49.470001,46.529999,47.099998,3491800,47.099998
2016-08-01,46.77,48.48,44.150002,48.41,4943000,48.41
2016-07-25,47.52,48.110001,46.73,46.889999,3426700,46.889999
2016-07-18,47.580002,49.869999,46.02,47.57,5521400,47.57
2016-07-11,41.880001,47.939999,41.720001,47.43,6563900,47.43
2016-07-05,40.799999,41.73,37.639999,41.48,5823200,41.48
2016-06-27,40.639999,41.799999,37.41,41.369999,7849500,41.369999
2016-06-20,43.07,45.919998,41.040001,41.060001,6843900,41.060001
2016-06-13,45.59,45.880001,41.459999,42.619999,7500700,42.619999
2016-06-06,44.200001,46.91,43.529999,46.080002,4968900,46.080002
2016-05-31,45.130001,45.59,43.599998,44.299999,4764400,44.299999
2016-05-23,44.540001,45.939999,44.139999,45.18,3921900,45.18
2016-05-16,44.32,46.279999,43.509998,44.490002,5067000,44.490002
2016-05-09,45.880001,47.400002,43.330002,43.84,5632400,43.84
2016-05-02,46.610001,47.540001,44.009998,45.700001,7074000,45.700001
2016-04-25,51.060001,51.450001,45.580002,45.810001,7105700,45.810001
2016-04-18,57.779999,58.900002,50.200001,50.740002,9340500,50.740002
2016-04-11,53.380001,57.84,53.279999,56.900002,3681900,56.900002
2016-04-04,56.59,57.599998,52.93,53.080002,4175400,53.080002
2016-03-28,57.950001,61.389999,56.189999,56.720001,4798200,56.720001
2016-03-21,60.380001,61.41,57.200001,57.84,4684900,57.84
2016-03-14,58.00,60.669998,57.419998,60.41,4599700,60.41
2016-03-07,57.549999,58.41,55.290001,58.369999,4830500,58.369999
2016-02-29,56.380001,58.950001,56.009998,58.00,5325500,58.00
2016-02-22,54.130001,57.169998,53.959999,56.580002,5146200,56.580002
2016-02-16,48.720001,55.060001,47.799999,53.82,6029000,53.82
2016-02-08,45.900002,48.799999,44.00,48.349998,6769700,48.349998
2016-02-01,47.709999,49.200001,45.049999,46.860001,6240000,46.860001
2016-01-25,46.91,49.41,45.27,48.279999,7227100,48.279999
2016-01-19,46.509998,47.73,42.169998,46.720001,9737900,46.720001
2016-01-11,52.200001,52.549999,44.93,45.669998,9455000,45.669998
2016-01-04,55.790001,56.34,51.759998,51.889999,6007800,51.889999
2015-12-28,59.790001,60.200001,56.720001,57.299999,2884400,57.299999
2015-12-21,57.419998,60.439999,56.650002,59.779999,3405300,59.779999
2015-12-14,57.369999,59.650002,55.330002,56.919998,4509300,56.919998
2015-12-07,59.959999,61.490002,56.91,57.029999,5371200,57.029999
2015-11-30,56.82,59.34,55.529999,58.939999,4744200,58.939999
2015-11-23,58.849998,59.23,55.93,56.82,4031900,56.82
2015-11-16,57.369999,59.299999,56.509998,58.810001,4457200,58.810001
2015-11-09,61.16,61.419998,58.439999,58.799999,2837100,58.799999
2015-11-02,60.610001,61.75,59.689999,61.490002,5219100,61.490002
2015-10-26,59.419998,61.869999,58.599998,60.310001,5528900,60.310001
2015-10-19,55.900002,59.799999,54.139999,59.68,8238100,59.68
2015-10-12,56.099998,58.75,55.049999,55.970001,7395100,55.970001
2015-10-05,52.029999,56.099998,49.759998,55.709999,7406600,55.709999
2015-09-28,55.209999,55.240002,50.950001,51.759998,6186800,51.759998
2015-09-21,60.360001,61.240002,54.950001,55.419998,5436400,55.419998
2015-09-14,56.889999,62.209999,56.419998,60.310001,7729000,60.310001
2015-09-08,57.740002,58.93,56.34,56.830002,6671300,56.830002
2015-08-31,57.18,58.139999,55.799999,56.689999,21422300,56.689999
2015-08-24,50.759998,57.349998,49.200001,57.119999,8487200,57.119999
2015-08-17,58.490002,60.119999,54.959999,55.09,4479300,55.09
2015-08-10,57.419998,59.139999,55.07,58.529999,3607300,58.529999
2015-08-03,56.860001,59.849998,56.610001,56.740002,4377000,56.740002
2015-07-27,56.049999,58.91,55.25,56.389999,4682200,56.389999
2015-07-20,55.689999,60.00,54.810001,56.490002,7310000,56.490002
2015-07-13,56.91,57.389999,53.900002,55.389999,5224600,55.389999
2015-07-06,52.049999,55.689999,52.049999,55.509998,5395700,55.509998
2015-06-29,53.849998,54.889999,50.099998,51.50,7073900,51.50
2015-06-22,54.580002,56.27,53.84,54.48,4915700,54.48
2015-06-15,52.490002,53.959999,50.689999,53.25,4327500,53.25
2015-06-08,53.48,53.599998,49.849998,52.869999,7063900,52.869999
2015-06-01,54.759998,56.889999,53.830002,54.09,6374600,54.09
2015-05-26,54.099998,54.799999,51.68,54.59,7484700,54.59
2015-05-18,61.630001,63.220001,53.110001,53.689999,9844500,53.689999
2015-05-11,62.700001,63.639999,61.060001,61.599998,3623900,61.599998
2015-05-04,61.939999,63.900002,57.700001,62.439999,4876100,62.439999
2015-04-27,62.939999,63.470001,57.950001,61.400002,5665900,61.400002
2015-04-20,62.00,64.949997,61.060001,63.509998,6848500,63.509998
2015-04-13,60.57,62.939999,59.639999,61.490002,4834400,61.490002
2015-04-06,60.639999,62.919998,59.290001,61.049999,6473500,61.049999
2015-03-30,68.25,68.75,61.73,61.880001,5413300,61.880001
2015-03-23,69.769997,69.870003,63.09,67.75,5214900,67.75
2015-03-16,68.220001,70.309998,67.410004,69.449997,6198500,69.449997
2015-03-09,66.900002,69.110001,64.300003,67.57,4539000,67.57
2015-03-02,65.18,69.309998,65.18,66.669998,4382400,66.669998
2015-02-23,69.029999,71.379997,64.709999,65.18,5614100,65.18
2015-02-17,66.50,68.919998,64.50,68.010002,4599900,68.010002
2015-02-09,65.699997,68.580002,63.759998,66.230003,5327100,66.230003
2015-02-02,69.080002,72.230003,65.739998,67.580002,7353200,67.580002
2015-01-26,72.540001,74.519997,68.260002,69.370003,5729900,69.370003
2015-01-20,67.110001,73.220001,65.849998,73.099998,7511800,73.099998
2015-01-12,66.160004,68.260002,62.369999,65.75,6530000,65.75
2015-01-05,66.870003,67.519997,63.110001,65.339996,5319500,65.339996
2014-12-29,64.599998,68.080002,63.869999,66.339996,4046200,66.339996
2014-12-22,64.610001,65.989998,61.799999,65.279999,3712100,65.279999
2014-12-15,64.190002,65.040001,59.650002,64.139999,6481000,64.139999
2014-12-08,63.189999,67.400002,61.110001,64.099998,7670300,64.099998
2014-12-01,61.00,64.980003,57.889999,63.029999,6406800,63.029999
2014-11-24,56.130001,61.93,55.110001,61.23,5721500,61.23
2014-11-17,56.080002,58.860001,54.610001,55.330002,5059800,55.330002
2014-11-10,53.700001,57.200001,53.259998,56.099998,4427500,56.099998
2014-11-03,52.950001,56.900002,52.810001,54.18,5668200,54.18
2014-10-27,49.639999,53.650002,49.259998,52.810001,6874800,52.810001
2014-10-20,45.650002,50.549999,45.23,49.619999,9720100,49.619999
2014-10-13,44.080002,45.450001,39.459999,44.68,11230900,44.68
2014-10-06,48.34,48.799999,42.860001,43.740002,9140800,43.740002
2014-09-29,46.68,48.849998,44.369999,48.279999,6244700,48.279999
2014-09-22,49.470001,49.470001,46.43,47.330002,4279000,47.330002
2014-09-15,50.41,50.630001,48.439999,49.380001,4663800,49.380001
2014-09-08,51.130001,52.450001,50.369999,50.41,5538600,50.41
2014-09-02,48.00,51.700001,48.00,50.73,5918600,50.73
2014-08-25,48.799999,49.00,47.23,47.610001,2919800,47.610001
2014-08-18,46.400002,49.52,46.32,48.459999,4908400,48.459999
2014-08-11,43.41,46.400002,42.599998,46.009998,4968000,46.009998
2014-08-04,46.68,47.389999,41.93,42.950001,6302000,42.950001
2014-07-28,46.799999,47.740002,45.450001,46.73,5119100,46.73
2014-07-21,44.25,49.279999,43.549999,46.779999,8099600,46.779999
2014-07-14,45.73,45.900002,42.959999,44.25,5560000,44.25
2014-07-07,39.869999,45.810001,36.650002,45.700001,12070100,45.700001
2014-06-30,41.619999,42.400002,39.220001,39.880001,6946400,39.880001
2014-06-23,43.639999,43.66,40.740002,41.490002,5702000,41.490002
2014-06-16,42.490002,44.700001,41.759998,43.66,5486700,43.66
2014-06-09,47.599998,48.130001,41.599998,42.779999,10346300,42.779999
2014-06-02,44.490002,48.130001,44.369999,48.049999,7008400,48.049999
2014-05-27,43.810001,45.419998,43.200001,44.369999,5109900,44.369999
2014-05-19,40.299999,44.389999,40.02,43.57,5000200,43.57
2014-05-12,40.330002,42.34,39.560001,40.509998,4386800,40.509998
2014-05-05,40.259998,41.470001,38.93,40.16,4141800,40.16
2014-04-28,39.630001,42.169998,38.060001,40.720001,7065400,40.720001
2014-04-21,43.419998,47.490002,39.25,39.41,8270100,39.41
2014-04-14,41.880001,44.490002,40.43,43.549999,4344100,43.549999
2014-04-07,44.50,45.290001,40.880001,41.490002,6122300,41.490002
2014-03-31,43.259998,48.200001,43.259998,44.880001,4092600,44.880001
2014-03-24,45.029999,45.68,42.849998,42.959999,3537000,42.959999
2014-03-17,44.98,46.939999,43.84,44.330002,4534000,44.330002
2014-03-10,47.709999,49.18,44.18,44.400002,3856300,44.400002
2014-03-03,44.259998,48.849998,43.380001,47.75,4494100,47.75
2014-02-24,45.639999,48.450001,44.740002,44.959999,5071600,44.959999
2014-02-18,44.470001,46.73,43.07,45.599998,4735300,45.599998
2014-02-10,45.450001,45.84,43.299999,44.50,4226200,44.50
2014-02-03,45.91,46.009998,42.959999,45.540001,5371100,45.540001
2014-01-27,46.139999,46.970001,43.880001,45.84,5627300,45.84
2014-01-21,47.549999,49.200001,45.68,46.130001,8983400,46.130001
2014-01-13,45.310001,47.860001,44.34,47.07,6690000,47.07
2014-01-06,40.110001,46.189999,38.450001,45.080002,10785000,45.080002
2013-12-30,36.880001,40.150002,36.790001,39.950001,3501300,39.950001
2013-12-23,37.560001,38.330002,36.560001,36.779999,2999600,36.779999
2013-12-16,38.740002,39.00,36.509998,37.389999,3382400,37.389999
2013-12-09,36.68,38.880001,36.389999,38.529999,5256100,38.529999
2013-12-02,39.310001,39.619999,36.57,36.740002,4327600,36.740002
2013-11-25,38.970001,40.189999,38.799999,39.25,5014400,39.25
2013-11-18,36.919998,38.91,36.119999,38.540001,7627900,38.540001
2013-11-11,35.41,37.82,34.959999,36.73,6030500,36.73
2013-11-04,35.57,36.799999,33.610001,35.360001,5272300,35.360001
2013-10-28,31.27,35.57,31.15,35.540001,6851500,35.540001
2013-10-21,30.90,32.110001,29.629999,31.17,5337200,31.17
2013-10-14,29.959999,31.459999,29.110001,30.92,4217200,30.92
2013-10-07,31.67,31.67,29.709999,30.120001,3340400,30.120001
2013-09-30,30.58,32.07,29.92,31.74,4776300,31.74
2013-09-23,33.290001,34.400002,30.879999,30.91,4857700,30.91
2013-09-16,32.959999,34.450001,32.259998,33.50,3930200,33.50
2013-09-09,29.98,33.470001,29.98,32.200001,5908300,32.200001
2013-09-03,29.48,30.00,28.389999,29.719999,4636000,29.719999
2013-08-26,29.709999,30.280001,27.32,28.459999,7247500,28.459999
2013-08-19,30.75,30.90,29.65,29.719999,3273000,29.719999
2013-08-12,33.52,33.849998,29.469999,30.860001,10282600,30.860001
2013-08-05,35.639999,35.75,33.049999,33.709999,3244100,33.709999
2013-07-29,36.09,36.200001,34.66,35.650002,2991700,35.650002
2013-07-22,34.509998,36.740002,33.029999,36.25,4886500,36.25
2013-07-15,31.49,34.84,31.10,34.509998,4061900,34.509998
2013-07-08,32.00,32.169998,30.049999,31.440001,2793200,31.440001
2013-07-01,31.299999,33.23,30.889999,31.799999,2362500,31.799999
2013-06-24,29.719999,31.98,29.00,31.290001,2896500,31.290001
2013-06-17,32.849998,32.959999,29.290001,30.059999,3071500,30.059999
2013-06-10,32.950001,33.59,31.82,32.669998,3384800,32.669998
2013-06-03,32.610001,33.389999,29.67,32.939999,5609900,32.939999
2013-05-28,34.630001,34.900002,32.299999,32.459999,3018100,32.459999
2013-05-20,34.869999,35.27,32.779999,34.369999,4175100,34.369999
2013-05-13,32.880001,35.16,32.540001,34.75,3991600,34.75
2013-05-06,33.080002,33.919998,32.450001,32.880001,2795300,32.880001
2013-04-29,31.00,33.82,31.00,33.009998,3685500,33.009998
2013-04-22,30.60,31.90,29.76,31.139999,4990500,31.139999
2013-04-15,30.51,31.01,28.950001,30.60,4356200,30.60
2013-04-08,29.389999,30.719999,28.870001,30.280001,3905600,30.280001
2013-04-01,31.27,31.940001,27.90,29.27,7394600,29.27
2013-03-25,32.07,32.599998,31.549999,32.009998,2875300,32.009998
2013-03-18,30.68,32.950001,30.57,31.870001,4291200,31.870001
2013-03-11,30.93,31.35,29.75,30.940001,5096800,30.940001
2013-03-04,27.219999,31.639999,27.219999,31.35,6769500,31.35
2013-02-25,26.58,27.93,25.530001,27.379999,4793000,27.379999
2013-02-19,26.309999,26.799999,25.67,26.360001,3495300,26.360001
2013-02-11,26.309999,26.84,25.26,26.370001,5050700,26.370001
2013-02-04,24.059999,26.440001,23.889999,26.309999,4968300,26.309999
2013-01-28,25.34,25.50,23.620001,24.18,4177600,24.18
2013-01-22,24.790001,26.370001,24.290001,25.50,7475800,25.50
2013-01-14,25.84,26.24,24.76,24.790001,5011200,24.790001
2013-01-07,25.719999,26.110001,24.90,25.99,4696200,25.99
2012-12-31,22.969999,25.959999,22.959999,25.85,4506400,25.85
2012-12-24,23.93,24.139999,22.870001,23.040001,2685900,23.040001
2012-12-17,23.60,24.23,23.110001,24.190001,5749700,24.190001
2012-12-10,20.450001,23.24,20.309999,23.01,4974300,23.01
2012-12-03,20.129999,20.610001,19.540001,20.51,2293600,20.51
2012-11-26,20.08,20.50,19.75,20.219999,2773000,20.219999
2012-11-19,19.57,20.450001,19.469999,20.10,2974600,20.10
