Category: All categories

Week,United Airlines: (Worldwide)
2012-04-22,15
2012-04-29,15
2012-05-06,15
2012-05-13,15
2012-05-20,15
2012-05-27,15
2012-06-03,15
2012-06-10,16
2012-06-17,16
2012-06-24,16
2012-07-01,15
2012-07-08,17
2012-07-15,17
2012-07-22,17
2012-07-29,16
2012-08-05,17
2012-08-12,17
2012-08-19,16
2012-08-26,16
2012-09-02,15
2012-09-09,14
2012-09-16,15
2012-09-23,14
2012-09-30,15
2012-10-07,14
2012-10-14,14
2012-10-21,14
2012-10-28,17
2012-11-04,14
2012-11-11,14
2012-11-18,13
2012-11-25,13
2012-12-02,13
2012-12-09,13
2012-12-16,15
2012-12-23,16
2012-12-30,15
2013-01-06,15
2013-01-13,15
2013-01-20,14
2013-01-27,14
2013-02-03,15
2013-02-10,15
2013-02-17,15
2013-02-24,15
2013-03-03,16
2013-03-10,15
2013-03-17,15
2013-03-24,14
2013-03-31,14
2013-04-07,15
2013-04-14,15
2013-04-21,15
2013-04-28,14
2013-05-05,15
2013-05-12,14
2013-05-19,15
2013-05-26,14
2013-06-02,15
2013-06-09,15
2013-06-16,15
2013-06-23,16
2013-06-30,15
2013-07-07,16
2013-07-14,15
2013-07-21,15
2013-07-28,15
2013-08-04,16
2013-08-11,15
2013-08-18,15
2013-08-25,14
2013-09-01,13
2013-09-08,15
2013-09-15,14
2013-09-22,14
2013-09-29,14
2013-10-06,14
2013-10-13,14
2013-10-20,13
2013-10-27,13
2013-11-03,13
2013-11-10,12
2013-11-17,13
2013-11-24,12
2013-12-01,13
2013-12-08,13
2013-12-15,14
2013-12-22,13
2013-12-29,17
2014-01-05,18
2014-01-12,14
2014-01-19,14
2014-01-26,14
2014-02-02,14
2014-02-09,15
2014-02-16,14
2014-02-23,14
2014-03-02,15
2014-03-09,14
2014-03-16,14
2014-03-23,13
2014-03-30,13
2014-04-06,13
2014-04-13,13
2014-04-20,13
2014-04-27,13
2014-05-04,13
2014-05-11,14
2014-05-18,13
2014-05-25,13
2014-06-01,13
2014-06-08,14
2014-06-15,14
2014-06-22,14
2014-06-29,13
2014-07-06,14
2014-07-13,15
2014-07-20,14
2014-07-27,14
2014-08-03,14
2014-08-10,14
2014-08-17,13
2014-08-24,13
2014-08-31,12
2014-09-07,12
2014-09-14,12
2014-09-21,13
2014-09-28,13
2014-10-05,12
2014-10-12,12
2014-10-19,11
2014-10-26,11
2014-11-02,11
2014-11-09,11
2014-11-16,11
2014-11-23,11
2014-11-30,11
2014-12-07,11
2014-12-14,11
2014-12-21,11
2014-12-28,12
2015-01-04,14
2015-01-11,12
2015-01-18,11
2015-01-25,12
2015-02-01,12
2015-02-08,12
2015-02-15,12
2015-02-22,12
2015-03-01,13
2015-03-08,12
2015-03-15,12
2015-03-22,12
2015-03-29,11
2015-04-05,12
2015-04-12,12
2015-04-19,12
2015-04-26,12
2015-05-03,12
2015-05-10,13
2015-05-17,12
2015-05-24,12
2015-05-31,13
2015-06-07,13
2015-06-14,13
2015-06-21,13
2015-06-28,12
2015-07-05,16
2015-07-12,13
2015-07-19,13
2015-07-26,13
2015-08-02,13
2015-08-09,13
2015-08-16,12
2015-08-23,11
2015-08-30,11
2015-09-06,12
2015-09-13,11
2015-09-20,11
2015-09-27,11
2015-10-04,12
2015-10-11,11
2015-10-18,11
2015-10-25,11
2015-11-01,11
2015-11-08,11
2015-11-15,11
2015-11-22,10
2015-11-29,11
2015-12-06,10
2015-12-13,11
2015-12-20,11
2015-12-27,13
2016-01-03,13
2016-01-10,11
2016-01-17,12
2016-01-24,11
2016-01-31,11
2016-02-07,11
2016-02-14,11
2016-02-21,11
2016-02-28,11
2016-03-06,12
2016-03-13,12
2016-03-20,12
2016-03-27,12
2016-04-03,12
2016-04-10,11
2016-04-17,11
2016-04-24,11
2016-05-01,11
2016-05-08,12
2016-05-15,12
2016-05-22,12
2016-05-29,12
2016-06-05,12
2016-06-12,12
2016-06-19,12
2016-06-26,12
2016-07-03,11
2016-07-10,12
2016-07-17,12
2016-07-24,13
2016-07-31,12
2016-08-07,12
2016-08-14,12
2016-08-21,12
2016-08-28,12
2016-09-04,11
2016-09-11,11
2016-09-18,11
2016-09-25,10
2016-10-02,11
2016-10-09,11
2016-10-16,10
2016-10-23,10
2016-10-30,10
2016-11-06,9
2016-11-13,10
2016-11-20,9
2016-11-27,10
2016-12-04,10
2016-12-11,11
2016-12-18,12
2016-12-25,10
2017-01-01,12
2017-01-08,11
2017-01-15,10
2017-01-22,11
2017-01-29,10
2017-02-05,10
2017-02-12,11
2017-02-19,11
2017-02-26,11
2017-03-05,11
2017-03-12,12
2017-03-19,11
2017-03-26,13
2017-04-02,11
2017-04-09,100
