Category: All categories

Month,Popularity
2004-01,23
2004-02,21
2004-03,21
2004-04,20
2004-05,20
2004-06,21
2004-07,21
2004-08,22
2004-09,23
2004-10,23
2004-11,27
2004-12,34
2005-01,26
2005-02,25
2005-03,24
2005-04,23
2005-05,23
2005-06,24
2005-07,25
2005-08,26
2005-09,25
2005-10,27
2005-11,30
2005-12,37
2006-01,29
2006-02,26
2006-03,25
2006-04,24
2006-05,24
2006-06,24
2006-07,26
2006-08,27
2006-09,27
2006-10,28
2006-11,33
2006-12,40
2007-01,30
2007-02,28
2007-03,26
2007-04,25
2007-05,26
2007-06,26
2007-07,28
2007-08,28
2007-09,28
2007-10,29
2007-11,36
2007-12,44
2008-01,31
2008-02,29
2008-03,29
2008-04,28
2008-05,27
2008-06,28
2008-07,29
2008-08,30
2008-09,30
2008-10,30
2008-11,37
2008-12,47
2009-01,35
2009-02,32
2009-03,31
2009-04,29
2009-05,29
2009-06,30
2009-07,30
2009-08,32
2009-09,32
2009-10,33
2009-11,41
2009-12,49
2010-01,37
2010-02,33
2010-03,32
2010-04,31
2010-05,31
2010-06,31
2010-07,33
2010-08,35
2010-09,37
2010-10,38
2010-11,50
2010-12,59
2011-01,45
2011-02,42
2011-03,41
2011-04,40
2011-05,41
2011-06,41
2011-07,43
2011-08,46
2011-09,47
2011-10,48
2011-11,59
2011-12,71
2012-01,55
2012-02,52
2012-03,50
2012-04,48
2012-05,46
2012-06,48
2012-07,51
2012-08,52
2012-09,54
2012-10,56
2012-11,71
2012-12,83
2013-01,62
2013-02,58
2013-03,56
2013-04,54
2013-05,53
2013-06,55
2013-07,56
2013-08,59
2013-09,59
2013-10,58
2013-11,68
2013-12,81
2014-01,62
2014-02,57
2014-03,57
2014-04,55
2014-05,54
2014-06,56
2014-07,57
2014-08,59
2014-09,61
2014-10,65
2014-11,76
2014-12,85
2015-01,69
2015-02,62
2015-03,60
2015-04,59
2015-05,60
2015-06,60
2015-07,69
2015-08,68
2015-09,64
2015-10,70
2015-11,83
2015-12,93
2016-01,75
2016-02,66
2016-03,67
2016-04,66
2016-05,65
2016-06,68
2016-07,73
2016-08,73
2016-09,74
2016-10,79
2016-11,93
2016-12,100
2017-01,80
2017-02,72
2017-03,71
2017-04,72
