Date,Open,High,Low,Close,Volume,Adj Close
2017-04-24,86.550003,89.129997,86.419998,88.260002,21573800,88.260002
2017-04-17,84.440002,86.080002,84.360001,84.519997,17059300,84.519997
2017-04-10,86.080002,86.989998,84.400002,84.400002,18682600,84.400002
2017-04-03,87.989998,88.540001,85.25,86.18,15844900,86.18
2017-03-27,85.529999,89.459999,85.230003,87.839996,14355900,87.338165
2017-03-20,90.269997,91.169998,86.010002,87.290001,20327400,86.791313
2017-03-13,91.309998,92.809998,90.650002,90.68,14614000,90.161949
2017-03-06,92.25,92.849998,90.529999,91.279999,14210100,90.758514
2017-02-27,90.32,93.980003,89.589996,92.800003,16335100,92.269836
2017-02-21,90.510002,91.339996,89.730003,90.330002,13009100,89.81395
2017-02-13,87.440002,91.040001,87.43,90.230003,17500400,89.714523
2017-02-06,86.790001,87.480003,85.370003,87.00,11986700,86.502968
2017-01-30,86.190002,87.309998,84.089996,87.18,14742900,86.681946
2017-01-23,83.300003,86.980003,83.209999,86.93,14680700,86.433372
2017-01-17,84.93,85.220001,83.029999,83.669998,21571700,83.191994
2017-01-09,85.730003,88.169998,85.519997,86.699997,18214200,86.204681
2017-01-03,87.339996,87.760002,85.260002,86.120003,15752800,85.627998
2016-12-27,87.050003,87.389999,85.040001,86.290001,11177200,85.324913
2016-12-19,84.800003,87.169998,84.190002,87.050003,14471300,86.076416
2016-12-12,85.360001,86.489998,83.760002,84.940002,19250000,83.990013
2016-12-05,82.300003,85.50,82.290001,85.489998,17813700,84.533859
2016-11-28,78.18,82.279999,78.019997,81.599998,18651600,80.68737
2016-11-21,78.00,79.449997,77.290001,78.830002,11488200,77.948349
2016-11-14,77.25,80.440002,76.879997,77.709999,27877700,76.840874
2016-11-07,69.080002,77.25,69.00,76.690002,33752300,75.832283
2016-10-31,69.43,69.779999,67.639999,67.760002,13258300,67.002159
2016-10-24,68.970001,69.769997,68.370003,69.110001,11384100,68.337059
2016-10-17,67.419998,68.68,66.739998,68.489998,13167400,67.723991
