Category: All categories

Month,JPMorgan Chase: (Worldwide)
2004-01,98
2004-02,75
2004-03,69
2004-04,64
2004-05,60
2004-06,75
2004-07,77
2004-08,66
2004-09,71
2004-10,68
2004-11,68
2004-12,61
2005-01,75
2005-02,69
2005-03,66
2005-04,66
2005-05,67
2005-06,73
2005-07,66
2005-08,70
2005-09,67
2005-10,69
2005-11,69
2005-12,66
2006-01,76
2006-02,68
2006-03,74
2006-04,70
2006-05,65
2006-06,65
2006-07,61
2006-08,64
2006-09,63
2006-10,68
2006-11,63
2006-12,60
2007-01,69
2007-02,63
2007-03,61
2007-04,62
2007-05,62
2007-06,70
2007-07,63
2007-08,59
2007-09,59
2007-10,70
2007-11,63
2007-12,56
2008-01,70
2008-02,61
2008-03,79
2008-04,66
2008-05,58
2008-06,66
2008-07,62
2008-08,56
2008-09,100
2008-10,82
2008-11,63
2008-12,58
2009-01,64
2009-02,60
2009-03,61
2009-04,60
2009-05,53
2009-06,63
2009-07,63
2009-08,58
2009-09,59
2009-10,62
2009-11,58
2009-12,55
2010-01,64
2010-02,58
2010-03,61
2010-04,63
2010-05,56
2010-06,64
2010-07,58
2010-08,56
2010-09,58
2010-10,60
2010-11,61
2010-12,58
2011-01,64
2011-02,61
2011-03,57
2011-04,58
2011-05,55
2011-06,63
2011-07,58
2011-08,59
2011-09,57
2011-10,59
2011-11,58
2011-12,51
2012-01,58
2012-02,56
2012-03,57
2012-04,56
2012-05,92
2012-06,64
2012-07,61
2012-08,54
2012-09,57
2012-10,59
2012-11,58
2012-12,48
2013-01,58
2013-02,59
2013-03,55
2013-04,55
2013-05,52
2013-06,57
2013-07,56
2013-08,55
2013-09,55
2013-10,59
2013-11,55
2013-12,50
2014-01,61
2014-02,60
2014-03,54
2014-04,54
2014-05,48
2014-06,52
2014-07,51
2014-08,49
2014-09,49
2014-10,56
2014-11,49
2014-12,46
2015-01,52
2015-02,53
2015-03,47
2015-04,49
2015-05,45
2015-06,51
2015-07,48
2015-08,45
2015-09,47
2015-10,46
2015-11,43
2015-12,42
2016-01,50
2016-02,48
2016-03,45
2016-04,47
2016-05,41
2016-06,50
2016-07,45
2016-08,46
2016-09,48
2016-10,45
2016-11,48
2016-12,41
2017-01,51
2017-02,49
2017-03,47
2017-04,47
