Date,Popularity
2004-01-01,49
2004-02-01,60
2004-03-01,59
2004-04-01,65
2004-05-01,57
2004-06-01,51
2004-07-01,47
2004-08-01,48
2004-09-01,56
2004-10-01,55
2004-11-01,55
2004-12-01,39
2005-01-01,48
2005-02-01,55
2005-03-01,56
2005-04-01,61
2005-05-01,61
2005-06-01,53
2005-07-01,59
2005-08-01,48
2005-09-01,52
2005-10-01,53
2005-11-01,55
2005-12-01,43
2006-01-01,44
2006-02-01,58
2006-03-01,51
2006-04-01,49
2006-05-01,52
2006-06-01,48
2006-07-01,45
2006-08-01,58
2006-09-01,52
2006-10-01,52
2006-11-01,47
2006-12-01,37
2007-01-01,43
2007-02-01,48
2007-03-01,48
2007-04-01,48
2007-05-01,47
2007-06-01,45
2007-07-01,51
2007-08-01,43
2007-09-01,46
2007-10-01,51
2007-11-01,43
2007-12-01,38
2008-01-01,44
2008-02-01,52
2008-03-01,48
2008-04-01,51
2008-05-01,48
2008-06-01,43
2008-07-01,44
2008-08-01,39
2008-09-01,46
2008-10-01,52
2008-11-01,47
2008-12-01,38
2009-01-01,45
2009-02-01,47
2009-03-01,48
2009-04-01,53
2009-05-01,53
2009-06-01,47
2009-07-01,46
2009-08-01,47
2009-09-01,46
2009-10-01,47
2009-11-01,46
2009-12-01,37
2010-01-01,41
2010-02-01,46
2010-03-01,49
2010-04-01,51
2010-05-01,45
2010-06-01,44
2010-07-01,43
2010-08-01,45
2010-09-01,46
2010-10-01,45
2010-11-01,42
2010-12-01,37
2011-01-01,42
2011-02-01,47
2011-03-01,49
2011-04-01,48
2011-05-01,47
2011-06-01,44
2011-07-01,43
2011-08-01,43
2011-09-01,45
2011-10-01,47
2011-11-01,48
2011-12-01,38
2012-01-01,45
2012-02-01,49
2012-03-01,48
2012-04-01,55
2012-05-01,67
2012-06-01,53
2012-07-01,49
2012-08-01,48
2012-09-01,50
2012-10-01,47
2012-11-01,43
2012-12-01,37
2013-01-01,44
2013-02-01,47
2013-03-01,52
2013-04-01,100
2013-05-01,80
2013-06-01,45
2013-07-01,49
2013-08-01,46
2013-09-01,45
2013-10-01,44
2013-11-01,42
2013-12-01,36
2014-01-01,42
2014-02-01,50
2014-03-01,46
2014-04-01,69
2014-05-01,76
2014-06-01,52
2014-07-01,51
2014-08-01,43
2014-09-01,45
2014-10-01,45
2014-11-01,41
2014-12-01,36
2015-01-01,42
2015-02-01,44
2015-03-01,49
2015-04-01,77
2015-05-01,66
2015-06-01,43
2015-07-01,42
2015-08-01,44
2015-09-01,43
2015-10-01,44
2015-11-01,41
2015-12-01,34
2016-01-01,40
2016-02-01,44
2016-03-01,43
2016-04-01,47
2016-05-01,42
2016-06-01,42
2016-07-01,37
2016-08-01,40
2016-09-01,41
2016-10-01,41
2016-11-01,49
2016-12-01,36
2017-01-01,41
2017-02-01,44
2017-03-01,43
2017-04-01,51
