Date,Popularity
2004-01-01,89
2004-02-01,85
2004-03-01,84
2004-04-01,88
2004-05-01,90
2004-06-01,91
2004-07-01,100
2004-08-01,87
2004-09-01,77
2004-10-01,76
2004-11-01,72
2004-12-01,71
2005-01-01,92
2005-02-01,86
2005-03-01,88
2005-04-01,84
2005-05-01,88
2005-06-01,91
2005-07-01,94
2005-08-01,90
2005-09-01,79
2005-10-01,82
2005-11-01,78
2005-12-01,77
2006-01-01,91
2006-02-01,87
2006-03-01,88
2006-04-01,89
2006-05-01,88
2006-06-01,93
2006-07-01,95
2006-08-01,89
2006-09-01,79
2006-10-01,83
2006-11-01,80
2006-12-01,74
2007-01-01,89
2007-02-01,86
2007-03-01,86
2007-04-01,87
2007-05-01,88
2007-06-01,93
2007-07-01,93
2007-08-01,84
2007-09-01,81
2007-10-01,75
2007-11-01,74
2007-12-01,72
2008-01-01,86
2008-02-01,85
2008-03-01,86
2008-04-01,81
2008-05-01,86
2008-06-01,87
2008-07-01,81
2008-08-01,76
2008-09-01,72
2008-10-01,69
2008-11-01,67
2008-12-01,75
2009-01-01,83
2009-02-01,76
2009-03-01,87
2009-04-01,80
2009-05-01,71
2009-06-01,72
2009-07-01,76
2009-08-01,65
2009-09-01,60
2009-10-01,66
2009-11-01,55
2009-12-01,55
2010-01-01,60
2010-02-01,64
2010-03-01,62
2010-04-01,58
2010-05-01,56
2010-06-01,62
2010-07-01,63
2010-08-01,59
2010-09-01,61
2010-10-01,66
2010-11-01,69
2010-12-01,71
2011-01-01,80
2011-02-01,82
2011-03-01,82
2011-04-01,83
2011-05-01,79
2011-06-01,90
2011-07-01,90
2011-08-01,86
2011-09-01,78
2011-10-01,75
2011-11-01,77
2011-12-01,70
2012-01-01,82
2012-02-01,80
2012-03-01,81
2012-04-01,61
2012-05-01,63
2012-06-01,68
2012-07-01,70
2012-08-01,65
2012-09-01,59
2012-10-01,60
2012-11-01,56
2012-12-01,55
2013-01-01,62
2013-02-01,68
2013-03-01,66
2013-04-01,63
2013-05-01,63
2013-06-01,69
2013-07-01,67
2013-08-01,78
2013-09-01,61
2013-10-01,62
2013-11-01,57
2013-12-01,58
2014-01-01,69
2014-02-01,64
2014-03-01,66
2014-04-01,61
2014-05-01,62
2014-06-01,64
2014-07-01,65
2014-08-01,59
2014-09-01,59
2014-10-01,57
2014-11-01,53
2014-12-01,54
2015-01-01,62
2015-02-01,61
2015-03-01,63
2015-04-01,59
2015-05-01,59
2015-06-01,72
2015-07-01,64
2015-08-01,59
2015-09-01,57
2015-10-01,58
2015-11-01,51
2015-12-01,53
2016-01-01,63
2016-02-01,60
2016-03-01,62
2016-04-01,58
2016-05-01,59
2016-06-01,66
2016-07-01,70
2016-08-01,62
2016-09-01,55
2016-10-01,54
2016-11-01,49
2016-12-01,51
2017-01-01,60
2017-02-01,57
2017-03-01,57
2017-04-01,59
