Date,Open,High,Low,Close,Volume,Adj Close
2017-04-24,56.200001,57.84,56.049999,57.09,4395100,57.09
2017-04-17,54.450001,56.150002,53.810001,55.630001,3426300,55.630001
2017-04-10,54.400002,56.57,53.59,54.310001,5188100,54.310001
2017-04-03,53.720001,54.869999,52.880001,54.540001,4630700,54.540001
2017-03-27,52.00,54.540001,51.700001,53.759998,4173800,53.759998
2017-03-20,53.509998,53.75,51.110001,52.610001,4681000,52.610001
2017-03-13,55.720001,56.18,51.82,53.18,7868600,53.18
2017-03-06,58.509998,58.599998,54.41,55.880001,7515800,55.880001
2017-02-27,58.34,59.68,57.529999,58.860001,5444200,58.757744
2017-02-21,57.599998,58.560001,56.369999,58.540001,4812700,58.438301
2017-02-13,54.84,58.060001,54.84,57.32,6392300,57.220417
2017-02-06,53.169998,54.869999,52.360001,54.709999,4705800,54.614952
2017-01-30,52.130001,53.580002,51.169998,52.880001,5562000,52.788132
2017-01-23,51.029999,54.18,48.709999,52.700001,8479000,52.608444
2017-01-17,50.880001,51.34,49.700001,51.09,4887700,51.00124
2017-01-09,50.00,52.200001,49.799999,51.150002,5029500,51.061138
2017-01-03,50.400002,52.119999,49.450001,49.93,5487000,49.843258
2016-12-27,50.459999,50.959999,49.529999,49.84,2621100,49.753414
2016-12-19,50.259998,51.189999,49.720001,50.450001,3043700,50.362354
2016-12-12,49.360001,51.310001,48.900002,49.93,7624600,49.843258
2016-12-05,48.080002,50.68,47.040001,49.790001,6078000,49.703503
2016-11-28,47.41,48.240002,44.700001,47.91,5152700,47.725155
2016-11-21,47.080002,47.990002,46.130001,47.450001,5494300,47.266933
2016-11-14,43.900002,47.299999,43.880001,47.060001,8053400,46.878437
2016-11-07,41.00,43.849998,40.709999,43.84,8645900,43.67086
2016-10-31,39.490002,40.93,39.150002,40.380001,7065300,40.224209
2016-10-24,42.52,42.93,36.91,39.18,18512400,39.028839
2016-10-17,41.400002,42.470001,41.16,42.43,6772300,42.2663
2016-10-10,38.50,42.41,38.459999,41.32,8396100,41.16058
2016-10-03,38.849998,40.490002,38.18,38.470001,7059300,38.321579
2016-09-26,36.970001,39.18,36.610001,38.889999,7555400,38.739956
2016-09-19,36.709999,37.669998,36.310001,37.240002,4973200,37.096325
2016-09-12,36.939999,38.09,36.450001,36.59,5537400,36.44883
2016-09-06,36.889999,39.060001,36.560001,37.34,8594400,37.195938
2016-08-29,36.41,37.619999,36.32,36.889999,5500300,36.747673
2016-08-22,36.34,36.849998,36.049999,36.27,4489900,36.130066
2016-08-15,36.50,36.950001,36.299999,36.349998,5834000,36.209755
2016-08-08,37.77,38.029999,36.419998,36.52,6189000,36.28046
2016-08-01,37.16,37.869999,35.419998,37.849998,7977300,37.601734
2016-07-25,37.84,38.299999,37.009998,37.009998,8726900,36.767246
2016-07-18,43.290001,43.560001,37.009998,37.830002,14123800,37.581871
2016-07-11,40.939999,45.00,40.810001,43.16,6563200,42.876907
2016-07-05,39.740002,40.91,38.150002,40.540001,4808400,40.274094
2016-06-27,37.98,39.77,36.48,39.599998,8331300,39.340256
2016-06-20,40.049999,40.880001,37.740002,38.310001,10373000,38.05872
2016-06-13,43.220001,43.490002,39.18,39.740002,8203900,39.479343
2016-06-06,41.50,44.330002,41.209999,43.630001,5342200,43.343826
2016-05-31,42.349998,42.650002,41.110001,41.689999,4608200,41.317204
2016-05-23,42.189999,43.290001,41.57,42.330002,4027100,41.951485
2016-05-16,41.610001,43.240002,41.32,42.189999,5429100,41.812733
2016-05-09,41.790001,43.610001,40.849998,41.560001,5808200,41.18837
2016-05-02,44.630001,45.00,40.740002,41.73,6354800,41.356846
2016-04-25,47.299999,47.650002,43.459999,44.610001,7680600,44.211094
2016-04-18,47.450001,48.00,46.16,47.25,7095700,46.827488
2016-04-11,44.75,47.18,44.23,47.040001,6366700,46.619366
2016-04-04,44.759998,45.110001,43.09,44.50,4997400,44.102077
2016-03-28,44.080002,45.369999,43.560001,44.560001,5320800,44.161541
2016-03-21,44.50,45.389999,43.27,44.060001,5709500,43.666016
2016-03-14,43.169998,44.580002,43.099998,44.50,6528700,44.102077
2016-03-07,41.130001,43.459999,39.990002,43.330002,6810100,42.942543
2016-02-29,41.93,42.790001,41.189999,41.50,6652800,41.128902
2016-02-22,39.560001,42.860001,39.560001,42.169998,7929100,41.718193
2016-02-16,36.599998,39.459999,36.34,39.310001,6677500,38.888836
2016-02-08,35.130001,36.25,33.959999,36.240002,7274700,35.85173
2016-02-01,37.619999,38.59,35.509998,35.689999,7243400,35.307617
2016-01-25,39.349998,39.380001,35.509998,37.619999,8630000,37.216942
2016-01-19,40.669998,41.50,37.139999,39.00,9683900,38.582157
2016-01-11,42.299999,42.98,38.84,39.77,6923000,39.343906
2016-01-04,41.700001,43.50,41.18,42.209999,7504400,41.757763
2015-12-28,43.93,44.419998,42.75,43.060001,2826400,42.59866
2015-12-21,43.240002,44.439999,42.919998,43.900002,3873300,43.429661
2015-12-14,43.650002,45.220001,42.66,42.740002,6057900,42.282089
2015-12-07,49.880001,51.34,43.220001,43.419998,10945000,42.9548
2015-11-30,45.900002,49.450001,45.400002,49.41,6356900,48.806683
2015-11-23,47.450001,47.759998,45.41,45.82,5049500,45.260517
2015-11-16,45.259998,47.400002,44.68,47.32,5313200,46.742203
2015-11-09,46.720001,47.240002,45.619999,45.889999,4559100,45.329662
2015-11-02,46.470001,47.32,46.310001,46.849998,5123200,46.277939
2015-10-26,45.080002,46.950001,44.75,46.290001,6394200,45.724781
2015-10-19,40.560001,45.400002,40.52,45.23,8789700,44.677723
2015-10-12,39.880001,41.490002,39.880001,40.560001,6935200,40.064747
2015-10-05,38.650002,40.360001,37.57,39.939999,7988600,39.452312
2015-09-28,37.810001,38.459999,36.950001,38.380001,6880000,37.911366
2015-09-21,39.490002,39.869999,37.75,38.09,5717600,37.624905
2015-09-14,38.529999,40.00,38.459999,39.470001,6624700,38.988056
2015-09-08,37.779999,38.990002,37.68,38.540001,6622700,38.069412
2015-08-31,37.07,38.169998,36.00,37.23,7612200,36.775406
2015-08-24,35.189999,38.34,32.939999,37.099998,10752300,36.646992
2015-08-17,39.299999,40.869999,37.82,37.91,9616800,37.447102
2015-08-10,37.950001,39.41,36.84,39.360001,7623000,38.807308
2015-08-03,36.66,38.50,36.540001,37.580002,8154600,37.052303
2015-07-27,34.82,36.540001,34.330002,36.200001,7639600,35.691681
2015-07-20,34.900002,38.700001,34.220001,35.00,8977200,34.50853
2015-07-13,34.869999,35.209999,33.23,34.759998,8570600,34.2719
2015-07-06,32.470001,34.02,32.310001,33.830002,8250100,33.354961
2015-06-29,33.720001,34.220001,31.360001,32.509998,11103100,32.053493
2015-06-22,34.709999,35.029999,34.18,34.32,7215300,33.838081
