Category: All categories

Month,Popularity
2004-01,89
2004-02,85
2004-03,84
2004-04,88
2004-05,90
2004-06,91
2004-07,100
2004-08,87
2004-09,77
2004-10,76
2004-11,72
2004-12,71
2005-01,92
2005-02,86
2005-03,88
2005-04,84
2005-05,88
2005-06,91
2005-07,94
2005-08,90
2005-09,79
2005-10,82
2005-11,78
2005-12,77
2006-01,91
2006-02,87
2006-03,88
2006-04,89
2006-05,88
2006-06,93
2006-07,95
2006-08,89
2006-09,79
2006-10,83
2006-11,80
2006-12,74
2007-01,89
2007-02,86
2007-03,86
2007-04,87
2007-05,88
2007-06,93
2007-07,93
2007-08,84
2007-09,81
2007-10,75
2007-11,74
2007-12,72
2008-01,86
2008-02,85
2008-03,86
2008-04,81
2008-05,86
2008-06,87
2008-07,81
2008-08,76
2008-09,72
2008-10,69
2008-11,67
2008-12,75
2009-01,83
2009-02,76
2009-03,87
2009-04,80
2009-05,71
2009-06,72
2009-07,76
2009-08,65
2009-09,60
2009-10,66
2009-11,55
2009-12,55
2010-01,60
2010-02,64
2010-03,62
2010-04,58
2010-05,56
2010-06,62
2010-07,63
2010-08,59
2010-09,61
2010-10,66
2010-11,69
2010-12,71
2011-01,80
2011-02,82
2011-03,82
2011-04,83
2011-05,79
2011-06,90
2011-07,90
2011-08,86
2011-09,78
2011-10,75
2011-11,77
2011-12,70
2012-01,82
2012-02,80
2012-03,81
2012-04,61
2012-05,63
2012-06,68
2012-07,70
2012-08,65
2012-09,59
2012-10,60
2012-11,56
2012-12,55
2013-01,62
2013-02,68
2013-03,66
2013-04,63
2013-05,63
2013-06,69
2013-07,67
2013-08,78
2013-09,61
2013-10,62
2013-11,57
2013-12,58
2014-01,69
2014-02,64
2014-03,66
2014-04,61
2014-05,62
2014-06,64
2014-07,65
2014-08,59
2014-09,59
2014-10,57
2014-11,53
2014-12,54
2015-01,62
2015-02,61
2015-03,63
2015-04,59
2015-05,59
2015-06,72
2015-07,64
2015-08,59
2015-09,57
2015-10,58
2015-11,51
2015-12,53
2016-01,63
2016-02,60
2016-03,62
2016-04,58
2016-05,59
2016-06,66
2016-07,70
2016-08,62
2016-09,55
2016-10,54
2016-11,49
2016-12,51
2017-01,60
2017-02,57
2017-03,57
2017-04,59
