Date,Open,High,Low,Close,Volume,Adj Close
2017-04-24,61.00,61.380001,59.919998,60.959999,10825700,60.959999
2017-04-17,57.68,60.689999,57.59,60.610001,8735300,60.610001
2017-04-10,58.00,58.209999,57.380001,57.509998,5317100,57.509998
2017-04-03,58.279999,59.27,57.549999,58.02,8980800,58.02
2017-03-27,56.66,58.66,56.459999,58.389999,8382700,58.389999
2017-03-20,55.869999,57.380001,55.490002,56.810001,9437800,56.810001
2017-03-13,54.57,56.130001,54.09,55.779999,9852600,55.779999
2017-03-06,56.779999,56.810001,54.419998,54.529999,12909000,54.529999
2017-02-27,57.240002,57.400002,56.549999,57.099998,7580500,57.099998
2017-02-21,57.41,57.849998,57.150002,57.48,7691200,57.48
2017-02-13,56.50,57.57,56.02,57.349998,8587500,57.349998
2017-02-06,55.009998,56.400002,54.900002,56.220001,11381600,56.220001
2017-01-30,56.00,56.240002,53.810001,55.060001,15175600,54.813007
2017-01-23,57.419998,59.00,55.650002,56.119999,13180600,55.868252
2017-01-17,57.619999,58.580002,57.41,57.66,7153100,57.401344
2017-01-09,57.259998,58.34,57.25,57.849998,6962100,57.590488
2017-01-03,55.91,57.27,55.040001,57.130001,7948900,56.873722
2016-12-27,56.990002,57.389999,55.400002,55.52,5465000,55.270943
2016-12-19,57.439999,58.060001,56.720001,57.009998,5555700,56.754257
2016-12-12,58.540001,59.540001,57.52,57.66,9617300,57.401344
2016-12-05,56.959999,59.25,56.959999,58.75,7779100,58.486454
2016-11-28,57.00,58.52,56.57,57.209999,11622600,56.953362
2016-11-21,55.509998,57.700001,55.509998,57.43,7421200,57.172375
2016-11-14,53.93,56.119999,53.50,55.77,9668500,55.519821
2016-11-07,53.50,54.82,52.799999,53.93,12010900,53.440529
2016-10-31,53.700001,53.740002,50.84,52.75,15844800,52.271236
2016-10-24,53.900002,54.459999,53.110001,53.529999,6662100,53.044159
2016-10-17,52.939999,53.740002,52.59,53.630001,7384600,53.143253
2016-10-10,53.529999,53.599998,52.669998,53.080002,7330600,52.598244
2016-10-03,54.099998,54.150002,53.00,53.459999,6503200,52.974792
2016-09-26,54.279999,54.389999,52.91,54.139999,9714800,53.648621
2016-09-19,53.959999,54.599998,52.900002,54.43,8643700,53.935989
2016-09-12,53.919998,54.790001,53.41,53.740002,9205100,53.252254
2016-09-06,56.18,56.599998,54.299999,54.349998,10308300,53.856716
2016-08-29,57.220001,57.48,55.830002,56.18,6814500,55.670109
2016-08-22,54.98,57.98,54.950001,57.290001,8698600,56.770035
2016-08-15,55.650002,55.919998,54.849998,54.939999,6700400,54.44136
2016-08-08,55.970001,55.990002,55.110001,55.470001,6897600,54.966553
2016-08-01,58.00,58.049999,55.380001,55.900002,9491300,55.392651
2016-07-25,57.720001,58.84,57.50,58.049999,8177900,57.323502
2016-07-18,57.59,58.240002,56.549999,57.900002,13166300,57.175381
2016-07-11,56.799999,57.740002,56.060001,57.41,10684800,56.691513
2016-07-05,56.810001,57.110001,56.32,56.509998,8804300,55.802776
2016-06-27,54.200001,57.360001,53.41,56.990002,9939600,56.276772
2016-06-20,55.77,56.279999,54.009998,54.68,8434200,53.995678
2016-06-13,54.790001,56.09,54.41,55.310001,8172600,54.617798
2016-06-06,54.720001,56.099998,54.50,54.869999,7748900,54.1833
2016-05-31,55.50,55.50,54.400002,54.610001,8939100,53.926556
2016-05-23,54.619999,55.869999,54.290001,55.150002,7859400,54.459797
2016-05-16,55.700001,55.77,54.189999,54.619999,8707000,53.936428
2016-05-09,56.32,57.599998,55.73,55.82,6872500,55.12141
2016-05-02,56.290001,57.369999,55.380001,56.310001,7103800,55.605282
2016-04-25,57.619999,58.669998,55.290001,56.23,10197500,55.332672
2016-04-18,60.689999,61.43,57.029999,57.68,12540200,56.759537
2016-04-11,61.220001,61.50,58.369999,60.509998,8938000,59.544373
2016-04-04,61.099998,61.639999,59.439999,61.040001,5953200,60.065918
2016-03-28,58.560001,61.169998,58.400002,61.02,6514000,60.046234
2016-03-21,59.560001,59.860001,58.279999,58.360001,6619200,57.428684
2016-03-14,57.580002,60.450001,57.50,59.700001,9319900,58.747299
2016-03-07,58.439999,58.669998,56.57,57.59,9914600,56.670971
2016-02-29,58.25,60.200001,58.099998,58.700001,8458300,57.76326
2016-02-22,58.630001,59.209999,56.279999,58.34,7994200,57.409004
2016-02-16,56.790001,57.860001,55.98,57.669998,10269400,56.749691
2016-02-08,53.09,56.349998,52.630001,55.860001,13102500,54.968578
2016-02-01,60.66,61.790001,54.25,54.490002,13932900,53.620441
2016-01-25,59.360001,60.880001,57.259998,60.77,12000100,59.605438
2016-01-19,58.669998,59.400002,54.939999,59.169998,22196000,58.036098
2016-01-11,57.00,60.00,56.75,58.00,12208300,56.888519
2016-01-04,58.77,58.830002,56.16,56.630001,10594700,55.544777
2015-12-28,60.02,61.400002,59.580002,60.029999,4700200,58.87962
2015-12-21,58.889999,60.509998,58.66,60.32,5100800,59.164062
2015-12-14,60.040001,60.830002,58.27,58.619999,11541700,57.496639
2015-12-07,61.75,62.540001,59.599998,59.82,7853000,58.673645
2015-11-30,62.099998,62.290001,59.150002,61.75,9703700,60.566658
2015-11-23,62.139999,63.189999,61.220001,62.18,5849800,60.988419
2015-11-16,59.50,62.150002,59.50,61.990002,7092800,60.802059
2015-11-09,61.75,62.57,59.610001,59.740002,6716000,58.595177
2015-11-02,63.009998,63.099998,61.34,61.970001,7848200,60.586273
2015-10-26,62.98,64.00,61.709999,62.57,12002700,61.172874
2015-10-19,60.130001,62.799999,59.869999,62.610001,7524300,61.211983
2015-10-12,60.349998,60.889999,58.080002,59.93,8733000,58.591824
2015-10-05,58.490002,60.110001,57.900002,60.07,7336000,58.728699
2015-09-28,58.009998,58.43,54.810001,58.080002,9654700,56.783134
2015-09-21,57.200001,58.959999,56.700001,57.990002,8457700,56.695145
2015-09-14,56.540001,58.099998,56.049999,56.84,8518300,55.57082
2015-09-08,55.310001,56.540001,54.330002,56.529999,8436500,55.267742
2015-08-31,55.189999,55.759998,52.740002,54.279999,9250000,53.067982
2015-08-24,48.049999,56.310001,42.049999,55.630001,17181600,54.38784
2015-08-17,57.00,58.080002,52.599998,52.84,9013500,51.660137
2015-08-10,57.290001,57.630001,54.950001,57.099998,8338300,55.825016
2015-08-03,58.619999,59.32,56.509998,57.200001,8594500,55.922783
2015-07-27,57.209999,58.439999,56.560001,57.93,8002100,56.480755
2015-07-20,55.73,59.310001,55.700001,57.290001,9724400,55.856766
2015-07-13,55.00,56.16,54.900002,55.689999,7747700,54.296791
2015-07-06,53.639999,54.73,53.310001,54.57,7749500,53.204811
2015-06-29,53.869999,54.700001,53.139999,54.240002,7030100,52.883068
2015-06-22,54.330002,54.75,53.52,54.619999,6066300,53.253559
2015-06-15,52.23,54.439999,52.009998,53.93,7943500,52.580822
2015-06-08,52.00,53.00,51.099998,52.630001,6124900,51.313347
2015-06-01,51.959999,52.459999,51.27,52.189999,6763600,50.88435
2015-05-26,51.380001,52.23,50.66,51.959999,7214200,50.660107
2015-05-18,50.650002,51.720001,50.43,51.48,6512400,50.192116
2015-05-11,49.709999,50.849998,49.00,50.799999,5839800,49.529125
2015-05-04,50.299999,50.93,48.57,49.779999,7587800,48.534641
2015-04-27,51.810001,51.939999,49.43,50.290001,8335200,48.876385
2015-04-20,47.900002,52.09,47.700001,51.84,11296100,50.382812
2015-04-13,48.560001,48.889999,47.389999,47.619999,6427600,46.281433
2015-04-06,93.849998,95.279999,47.25,48.169998,6398700,46.815971
2015-03-30,96.040001,96.50,92.559998,94.389999,9634100,45.868382
2015-03-23,97.879997,98.480003,93.660004,95.07,8789800,46.198822
2015-03-16,94.00,99.199997,93.349998,97.459999,13418500,47.360233
2015-03-09,92.389999,94.370003,91.220001,93.290001,6675600,45.333843
2015-03-02,93.330002,94.550003,91.879997,92.220001,7192500,44.813881
2015-02-23,93.849998,94.830002,93.080002,93.489998,7157300,45.43103
2015-02-17,91.769997,93.779999,91.260002,93.510002,6374900,45.44075
2015-02-09,88.510002,91.989998,88.139999,91.580002,7831000,44.502876
2015-02-02,87.68,89.769997,85.860001,89.00,9964300,43.249134
2015-01-26,88.089996,89.589996,87.389999,87.529999,11920400,42.380104
2015-01-20,80.800003,88.699997,80.330002,88.220001,20900700,42.714191
2015-01-12,80.290001,82.139999,79.00,80.610001,9499000,39.029594
2015-01-05,80.139999,83.300003,78.559998,79.790001,13949600,38.632568
2014-12-29,81.660004,83.330002,80.889999,81.440002,6140300,39.431461
2014-12-22,79.849998,82.400002,79.769997,81.830002,5720900,39.620293
2014-12-15,82.269997,82.50,78.440002,79.440002,15091500,38.463108
2014-12-08,84.199997,84.199997,82.199997,83.25,9960500,40.307823
2014-12-01,81.00,83.919998,80.07,83.57,11254400,40.462761
2014-11-24,79.900002,81.639999,79.400002,81.209999,7627000,39.320099
2014-11-17,77.940002,79.919998,77.32,79.760002,7440100,38.618042
2014-11-10,77.639999,78.480003,77.169998,78.120003,5989400,37.823994
2014-11-03,75.970001,78.089996,75.470001,77.790001,8569300,37.509277
2014-10-27,76.010002,77.669998,74.919998,75.559998,14401600,36.433998
2014-10-20,73.610001,75.910004,73.410004,75.809998,8181500,36.554546
2014-10-13,74.209999,74.440002,70.769997,73.540001,11272800,35.459984
2014-10-06,76.019997,76.230003,73.629997,74.459999,7628600,35.903595
