Date,Popularity
2004-01-01,11
2004-02-01,11
2004-03-01,12
2004-04-01,11
2004-05-01,9
2004-06-01,9
2004-07-01,8
2004-08-01,8
2004-09-01,9
2004-10-01,9
2004-11-01,9
2004-12-01,8
2005-01-01,9
2005-02-01,9
2005-03-01,8
2005-04-01,8
2005-05-01,8
2005-06-01,8
2005-07-01,7
2005-08-01,7
2005-09-01,8
2005-10-01,8
2005-11-01,7
2005-12-01,7
2006-01-01,8
2006-02-01,8
2006-03-01,8
2006-04-01,8
2006-05-01,7
2006-06-01,7
2006-07-01,13
2006-08-01,11
2006-09-01,9
2006-10-01,11
2006-11-01,12
2006-12-01,10
2007-01-01,11
2007-02-01,12
2007-03-01,12
2007-04-01,11
2007-05-01,12
2007-06-01,12
2007-07-01,10
2007-08-01,11
2007-09-01,10
2007-10-01,10
2007-11-01,11
2007-12-01,11
2008-01-01,11
2008-02-01,11
2008-03-01,10
2008-04-01,11
2008-05-01,14
2008-06-01,13
2008-07-01,14
2008-08-01,11
2008-09-01,11
2008-10-01,12
2008-11-01,13
2008-12-01,12
2009-01-01,11
2009-02-01,11
2009-03-01,15
2009-04-01,13
2009-05-01,13
2009-06-01,12
2009-07-01,27
2009-08-01,12
2009-09-01,12
2009-10-01,12
2009-11-01,11
2009-12-01,10
2010-01-01,12
2010-02-01,13
2010-03-01,12
2010-04-01,11
2010-05-01,13
2010-06-01,14
2010-07-01,14
2010-08-01,11
2010-09-01,12
2010-10-01,12
2010-11-01,12
2010-12-01,11
2011-01-01,13
2011-02-01,13
2011-03-01,14
2011-04-01,14
2011-05-01,12
2011-06-01,12
2011-07-01,12
2011-08-01,11
2011-09-01,12
2011-10-01,13
2011-11-01,13
2011-12-01,12
2012-01-01,13
2012-02-01,15
2012-03-01,13
2012-04-01,13
2012-05-01,15
2012-06-01,15
2012-07-01,15
2012-08-01,15
2012-09-01,16
2012-10-01,15
2012-11-01,20
2012-12-01,16
2013-01-01,17
2013-02-01,21
2013-03-01,20
2013-04-01,21
2013-05-01,31
2013-06-01,26
2013-07-01,27
2013-08-01,36
2013-09-01,29
2013-10-01,30
2013-11-01,30
2013-12-01,25
2014-01-01,25
2014-02-01,30
2014-03-01,33
2014-04-01,30
2014-05-01,32
2014-06-01,32
2014-07-01,35
2014-08-01,32
2014-09-01,31
2014-10-01,39
2014-11-01,30
2014-12-01,29
2015-01-01,36
2015-02-01,36
2015-03-01,34
2015-04-01,37
2015-05-01,49
2015-06-01,37
2015-07-01,40
2015-08-01,42
2015-09-01,46
2015-10-01,48
2015-11-01,38
2015-12-01,37
2016-01-01,41
2016-02-01,46
2016-03-01,49
2016-04-01,100
2016-05-01,51
2016-06-01,46
2016-07-01,52
2016-08-01,45
2016-09-01,45
2016-10-01,52
2016-11-01,50
2016-12-01,45
2017-01-01,47
2017-02-01,51
2017-03-01,48
2017-04-01,58
