Date,Open,High,Low,Close,Volume,Adj Close
2017-04-24,309.220001,313.980011,305.859985,313.790009,5893500,313.790009
2017-04-17,302.700012,309.149994,297.899994,305.600006,4325700,305.600006
2017-04-10,309.149994,313.730011,295.299988,304.00,7154100,304.00
2017-04-03,286.899994,304.880005,284.579987,302.540009,8363600,302.540009
2017-03-27,260.600006,282.00,259.75,278.299988,5055400,278.299988
2017-03-20,260.600006,264.799988,250.240005,263.160004,4687500,263.160004
2017-03-13,244.820007,265.75,242.779999,261.50,5795800,261.50
2017-03-06,247.910004,253.889999,243.00,243.690002,3488800,243.690002
2017-02-27,248.169998,254.850006,242.009995,251.570007,5712100,251.570007
2017-02-21,275.450012,283.450012,250.199997,257.00,9185800,257.00
2017-02-13,270.73999,287.390015,264.149994,272.230011,6519200,272.230011
2017-02-06,251.00,271.179993,250.630005,269.230011,4636000,269.230011
2017-01-30,252.529999,255.889999,247.100006,251.330002,3312500,251.330002
2017-01-23,245.850006,258.459991,245.50,252.949997,4537800,252.949997
2017-01-17,236.699997,248.679993,234.369995,244.729996,5080700,244.729996
2017-01-09,228.970001,237.850006,225.580002,237.75,4230200,237.75
2017-01-03,214.860001,230.309998,210.960007,229.009995,7144100,229.009995
2016-12-27,214.880005,223.800003,211.679993,213.690002,4596400,213.690002
2016-12-19,202.490005,213.449997,199.839996,213.339996,4233200,213.339996
2016-12-12,192.800003,203.00,191.179993,202.490005,4086000,202.490005
2016-12-05,182.509995,193.839996,182.509995,192.179993,3768400,192.179993
2016-11-28,195.479996,199.350006,180.00,181.470001,4336800,181.470001
2016-11-21,185.039993,197.240005,183.710007,196.649994,4305600,196.649994
2016-11-14,188.00,193.00,178.190002,185.020004,4797200,185.020004
2016-11-07,193.589996,197.490005,180.419998,188.559998,5209900,188.559998
2016-10-31,202.490005,202.490005,185.960007,190.559998,4760900,190.559998
2016-10-24,201.00,213.699997,199.830002,199.970001,5640600,199.970001
2016-10-17,197.050003,206.660004,192.00,200.089996,5048400,200.089996
2016-10-10,201.350006,204.139999,196.300003,196.509995,2875900,196.509995
2016-10-03,212.300003,215.669998,195.800003,196.610001,3923000,196.610001
2016-09-26,206.50,211.00,199.550003,204.029999,2633800,204.029999
2016-09-19,207.00,210.179993,201.559998,207.449997,2526300,207.449997
2016-09-12,195.00,205.699997,193.449997,205.399994,3148800,205.399994
2016-09-06,199.020004,206.50,193.699997,194.470001,3791600,194.470001
2016-08-29,220.149994,220.399994,196.199997,197.779999,4726400,197.779999
2016-08-22,224.169998,228.490005,218.820007,219.990005,2684400,219.990005
2016-08-15,226.020004,229.50,222.289993,225.00,1892500,225.00
2016-08-08,228.00,231.539993,223.410004,225.610001,2100800,225.610001
2016-08-01,235.50,236.630005,221.399994,230.029999,3838100,230.029999
2016-07-25,222.270004,235.279999,221.369995,234.789993,3259900,234.789993
2016-07-18,219.639999,229.800003,218.300003,222.270004,3220800,222.270004
2016-07-11,219.960007,227.50,219.509995,220.399994,3695600,220.399994
2016-07-05,209.729996,219.809998,208.00,216.779999,4445500,216.779999
2016-06-27,190.860001,218.240005,187.869995,216.50,5931100,216.50
2016-06-20,219.50,223.75,189.729996,193.149994,9796800,193.149994
2016-06-13,219.50,225.770004,212.529999,215.470001,3246900,215.470001
2016-06-06,218.00,240.850006,215.449997,218.789993,4990700,218.789993
2016-05-31,223.039993,224.75,216.889999,218.990005,2508300,218.990005
2016-05-23,219.869995,225.929993,215.179993,223.039993,3791600,223.039993
2016-05-16,208.149994,220.550003,204.020004,220.279999,5456700,220.279999
2016-05-09,215.720001,216.149994,203.660004,207.610001,4096400,207.610001
2016-05-02,241.50,243.190002,208.110001,214.929993,6756500,214.929993
2016-04-25,253.009995,257.380005,237.809998,240.759995,3606500,240.759995
2016-04-18,252.229996,258.309998,241.25,253.75,4476500,253.75
2016-04-11,251.00,258.98999,243.630005,254.509995,5547000,254.509995
2016-04-04,249.119995,269.339996,240.00,250.070007,10269900,250.070007
2016-03-28,231.610001,247.899994,225.00,237.589996,7196600,237.589996
2016-03-21,235.339996,239.880005,215.00,227.75,4883300,227.75
2016-03-14,212.649994,234.479996,210.639999,232.740005,3851500,232.740005
2016-03-07,197.679993,213.289993,197.399994,207.50,4250400,207.50
2016-02-29,192.399994,204.029999,181.50,201.039993,5478300,201.039993
2016-02-22,170.119995,192.00,167.839996,190.339996,5651100,190.339996
2016-02-16,158.699997,172.949997,154.110001,166.580002,4566500,166.580002
2016-02-08,157.100006,163.259995,141.050003,151.039993,9971800,151.039993
2016-02-01,188.759995,199.520004,157.740005,162.600006,6565100,162.600006
2016-01-25,200.059998,203.570007,182.410004,191.199997,3745000,191.199997
2016-01-19,208.710007,210.470001,191.25,202.550003,4041900,202.550003
2016-01-11,214.009995,214.449997,193.380005,204.990005,4624500,204.990005
2016-01-04,230.720001,231.380005,210.770004,211.00,4195000,211.00
2015-12-28,231.490005,243.630005,225.539993,240.009995,2672100,240.009995
2015-12-21,231.690002,236.550003,228.130005,230.570007,1544400,230.570007
2015-12-14,217.509995,237.759995,214.869995,230.460007,3297700,230.460007
