Date,Open,High,Low,Close,Volume,Adj Close
2017-04-24,54.150002,55.09,53.59,54.560001,25225500,54.560001
2017-04-17,51.639999,53.84,51.259998,53.00,25744300,53.00
2017-04-10,54.990002,55.25,51.349998,51.349998,28803800,51.349998
2017-04-03,55.700001,56.200001,54.610001,54.84,13991600,54.84
2017-03-27,54.630001,56.43,54.240002,55.66,13124300,55.66
2017-03-20,58.470001,58.470001,54.849998,55.830002,23144300,55.830002
2017-03-13,58.830002,59.41,58.25,58.669998,16024300,58.669998
2017-03-06,58.540001,59.18,58.02,58.849998,14251500,58.849998
2017-02-27,57.810001,59.990002,57.709999,58.889999,16725300,58.889999
2017-02-21,58.25,58.630001,57.32,57.810001,14680700,57.810001
2017-02-13,57.07,59.009998,56.889999,58.09,17453400,58.09
2017-02-06,57.080002,57.41,55.169998,56.860001,15129100,56.860001
2017-01-30,56.119999,57.290001,55.400002,57.27,18490400,57.27
2017-01-23,54.709999,57.330002,54.130001,56.59,21791700,56.208248
2017-01-17,54.799999,55.110001,53.34,55.07,23307200,54.698502
2017-01-09,54.68,56.200001,53.720001,55.310001,23708500,54.936882
2017-01-03,55.669998,56.349998,54.48,55.040001,18661800,54.668705
2016-12-27,55.900002,56.099998,54.48,55.110001,12633000,54.738232
2016-12-19,55.18,56.32,54.650002,55.959999,14586700,55.582497
2016-12-12,56.50,57.099998,54.029999,55.34,34270000,54.966679
2016-12-05,53.900002,58.02,53.869999,57.139999,32455400,56.754536
2016-11-28,52.119999,54.470001,51.389999,53.580002,25374100,53.218555
2016-11-21,52.849998,52.98,51.810001,52.619999,19006600,52.265026
2016-11-14,51.91,54.060001,50.959999,52.82,36893500,52.46368
2016-11-07,45.220001,51.990002,44.869999,51.73,52086100,51.381031
2016-10-31,46.400002,46.560001,44.490002,44.599998,20415400,44.299129
2016-10-24,45.450001,46.810001,45.290001,46.23,22286100,45.538727
2016-10-17,44.540001,45.529999,44.32,45.09,23683400,44.415775
2016-10-10,45.700001,45.919998,44.279999,44.709999,31724200,44.041454
2016-10-03,44.119999,45.450001,43.549999,45.330002,35487300,44.652187
2016-09-26,45.369999,45.50,44.099998,44.279999,36580300,43.617886
2016-09-19,45.619999,47.200001,45.330002,45.740002,43055500,45.056057
2016-09-12,48.369999,48.639999,45.189999,45.43,50425900,44.75069
2016-09-06,50.560001,50.57,48.720001,48.720001,20146400,47.991497
2016-08-29,48.75,51.00,48.689999,50.549999,20098300,49.794128
2016-08-22,48.639999,48.84,48.279999,48.509998,14025800,47.784634
2016-08-15,48.049999,48.73,48.029999,48.650002,12705200,47.922543
2016-08-08,48.779999,49.150002,47.830002,47.900002,13989100,47.183758
2016-08-01,47.98,48.700001,47.330002,48.68,16340100,47.952095
2016-07-25,48.240002,48.259998,47.68,47.970001,14362600,46.876274
2016-07-18,47.810001,48.810001,47.779999,48.32,17162500,47.218292
2016-07-11,48.099998,49.150002,47.41,47.709999,19633100,46.6222
2016-07-05,46.700001,47.919998,45.700001,47.790001,19739700,46.700378
2016-06-27,45.200001,47.360001,44.50,47.029999,24992900,45.957706
2016-06-20,47.490002,47.91,45.279999,45.709999,22261500,44.667801
2016-06-13,48.130001,48.509998,45.959999,46.599998,20576800,45.53751
2016-06-06,50.240002,50.869999,48.169998,48.34,16857300,47.237839
2016-05-31,51.02,51.189999,49.610001,50.189999,19005100,49.045658
2016-05-23,48.759998,50.860001,48.349998,50.849998,15626400,49.690609
2016-05-16,48.119999,49.209999,47.549999,48.75,19601200,47.638489
2016-05-09,49.02,49.720001,48.209999,48.240002,16859400,47.140121
2016-05-02,50.279999,50.700001,48.650002,49.02,16692900,47.902336
2016-04-25,50.310001,51.41,49.68,49.98,14751700,48.469257
2016-04-18,48.25,50.779999,47.91,50.619999,19116000,49.089912
2016-04-11,47.110001,49.299999,46.950001,48.25,23030200,46.79155
2016-04-04,48.419998,48.669998,46.619999,47.07,15490300,45.647217
2016-03-28,49.040001,49.16,47.779999,48.450001,18090100,46.985504
2016-03-21,50.50,50.75,48.52,48.900002,15492300,47.421906
2016-03-14,49.970001,50.700001,48.84,50.540001,18838800,49.012333
2016-03-07,49.77,50.16,47.959999,50.07,17453100,48.556538
2016-02-29,48.029999,50.490002,46.91,50.110001,20079600,48.595329
2016-02-22,48.09,49.34,46.560001,48.07,17673000,46.616989
2016-02-16,48.049999,48.959999,47.34,48.09,18467200,46.636387
2016-02-08,47.110001,47.389999,44.50,47.310001,28411700,45.879963
2016-02-01,50.119999,50.18,46.509998,47.860001,28942700,46.413338
2016-01-25,48.91,50.25,47.619999,50.23,21888400,48.337608
2016-01-19,49.25,49.540001,46.880001,49.02,28182800,47.173199
2016-01-11,50.18,51.799999,48.130001,48.82,27023400,46.980732
2016-01-04,53.09,53.27,49.459999,49.560001,22835600,47.692852
2015-12-28,54.549999,55.349998,54.169998,54.360001,8688400,52.312016
2015-12-21,54.299999,55.09,53.549999,54.82,10336100,52.754684
2015-12-14,53.32,56.240002,52.75,53.790001,22493500,51.763489
2015-12-07,55.450001,55.560001,52.990002,53.310001,17655300,51.301575
2015-11-30,55.459999,55.880001,54.029999,55.669998,15876000,53.572659
2015-11-23,55.900002,56.040001,54.889999,55.389999,9685700,53.303211
2015-11-16,54.48,56.259998,54.400002,55.82,13666300,53.71701
2015-11-09,56.080002,56.220001,54.330002,54.57,15199300,52.514103
2015-11-02,54.209999,56.34,54.130001,55.849998,13833100,53.74588
2015-10-26,54.759998,55.57,53.82,54.139999,14314400,51.744621
