Date,Popularity
2004-01-01,32
2004-02-01,31
2004-03-01,38
2004-04-01,35
2004-05-01,34
2004-06-01,30
2004-07-01,34
2004-08-01,34
2004-09-01,35
2004-10-01,34
2004-11-01,32
2004-12-01,30
2005-01-01,37
2005-02-01,37
2005-03-01,55
2005-04-01,64
2005-05-01,51
2005-06-01,40
2005-07-01,38
2005-08-01,37
2005-09-01,35
2005-10-01,36
2005-11-01,41
2005-12-01,41
2006-01-01,43
2006-02-01,40
2006-03-01,42
2006-04-01,47
2006-05-01,45
2006-06-01,48
2006-07-01,43
2006-08-01,47
2006-09-01,42
2006-10-01,40
2006-11-01,41
2006-12-01,37
2007-01-01,46
2007-02-01,39
2007-03-01,39
2007-04-01,40
2007-05-01,43
2007-06-01,46
2007-07-01,46
2007-08-01,44
2007-09-01,41
2007-10-01,41
2007-11-01,38
2007-12-01,47
2008-01-01,45
2008-02-01,44
2008-03-01,43
2008-04-01,48
2008-05-01,44
2008-06-01,45
2008-07-01,44
2008-08-01,44
2008-09-01,38
2008-10-01,43
2008-11-01,36
2008-12-01,32
2009-01-01,37
2009-02-01,38
2009-03-01,36
2009-04-01,37
2009-05-01,35
2009-06-01,40
2009-07-01,38
2009-08-01,35
2009-09-01,37
2009-10-01,35
2009-11-01,34
2009-12-01,66
2010-01-01,37
2010-02-01,33
2010-03-01,34
2010-04-01,34
2010-05-01,31
2010-06-01,34
2010-07-01,47
2010-08-01,47
2010-09-01,44
2010-10-01,44
2010-11-01,43
2010-12-01,44
2011-01-01,45
2011-02-01,43
2011-03-01,45
2011-04-01,62
2011-05-01,66
2011-06-01,75
2011-07-01,79
2011-08-01,84
2011-09-01,82
2011-10-01,92
2011-11-01,83
2011-12-01,88
2012-01-01,68
2012-02-01,44
2012-03-01,46
2012-04-01,51
2012-05-01,56
2012-06-01,53
2012-07-01,53
2012-08-01,55
2012-09-01,48
2012-10-01,54
2012-11-01,44
2012-12-01,43
2013-01-01,48
2013-02-01,45
2013-03-01,47
2013-04-01,47
2013-05-01,50
2013-06-01,55
2013-07-01,59
2013-08-01,54
2013-09-01,48
2013-10-01,56
2013-11-01,53
2013-12-01,49
2014-01-01,51
2014-02-01,50
2014-03-01,53
2014-04-01,54
2014-05-01,53
2014-06-01,55
2014-07-01,57
2014-08-01,53
2014-09-01,47
2014-10-01,49
2014-11-01,48
2014-12-01,51
2015-01-01,50
2015-02-01,48
2015-03-01,50
2015-04-01,55
2015-05-01,56
2015-06-01,59
2015-07-01,59
2015-08-01,58
2015-09-01,54
2015-10-01,56
2015-11-01,53
2015-12-01,58
2016-01-01,59
2016-02-01,62
2016-03-01,65
2016-04-01,71
2016-05-01,79
2016-06-01,84
2016-07-01,90
2016-08-01,86
2016-09-01,83
2016-10-01,85
2016-11-01,78
2016-12-01,79
2017-01-01,94
2017-02-01,85
2017-03-01,85
2017-04-01,100
