Date,Open,High,Low,Close,Volume,Adj Close
2017-04-24,14.40,14.89,14.26,14.77,3315200,14.77
2017-04-17,13.50,14.41,13.38,14.33,2457200,14.33
2017-04-10,13.68,13.82,13.40,13.41,1519800,13.41
2017-04-03,13.63,13.85,13.29,13.67,2343800,13.67
2017-03-27,13.31,13.70,13.16,13.61,1821800,13.61
2017-03-20,13.51,13.63,13.03,13.43,1942700,13.43
2017-03-13,13.23,13.55,13.10,13.49,2419400,13.49
2017-03-06,13.51,13.58,13.13,13.25,2036900,13.25
2017-02-27,13.65,14.12,13.55,13.56,3934200,13.56
2017-02-21,14.22,14.40,13.41,13.67,3957200,13.60
2017-02-13,14.42,14.47,13.38,14.13,6234700,14.057645
2017-02-06,13.77,14.46,13.67,14.33,2544900,14.25662
2017-01-30,13.69,13.83,13.39,13.83,2551300,13.759181
2017-01-23,13.47,13.98,13.39,13.77,2262000,13.699489
2017-01-17,13.80,13.88,13.35,13.49,2518600,13.420921
2017-01-09,13.25,14.01,13.09,13.89,1995400,13.818874
2017-01-03,13.55,13.71,13.15,13.25,3940000,13.182151
2016-12-27,13.76,13.95,13.49,13.52,1680700,13.450768
2016-12-19,13.74,14.07,13.71,13.78,2760900,13.709436
2016-12-12,13.81,14.04,13.61,13.75,3262400,13.67959
2016-12-05,12.65,13.99,12.65,13.82,4822400,13.749231
2016-11-28,13.02,13.16,12.40,12.62,5164100,12.555377
2016-11-21,12.15,13.13,12.13,12.99,3853000,12.858564
2016-11-14,11.60,12.31,11.45,12.15,4508900,12.027063
2016-11-07,11.02,11.65,10.87,11.50,7051800,11.383641
2016-10-31,10.89,10.99,10.62,10.85,3391500,10.740218
2016-10-24,10.97,11.14,10.51,10.89,3371400,10.779813
2016-10-17,10.86,11.08,10.76,10.96,2803700,10.849105
2016-10-10,10.77,10.91,10.54,10.84,2166900,10.730319
2016-10-03,10.81,10.86,10.47,10.70,2645000,10.591735
2016-09-26,10.77,11.00,10.54,10.80,3859400,10.690723
2016-09-19,10.89,10.97,10.48,10.83,3352200,10.72042
2016-09-12,10.19,10.91,10.09,10.85,5026200,10.740218
2016-09-06,10.25,10.42,10.11,10.21,4402400,10.106693
2016-08-29,9.88,10.24,9.86,10.20,3320100,10.096794
2016-08-22,9.93,10.09,9.82,9.90,3194900,9.741207
2016-08-15,10.02,10.29,9.92,9.96,3193600,9.800245
2016-08-08,9.95,10.30,9.39,9.98,6940600,9.819923
2016-08-01,9.69,9.96,9.33,9.90,4140000,9.741207
2016-07-25,9.97,10.15,9.60,9.66,4205300,9.505056
2016-07-18,9.61,10.07,9.40,10.02,3901200,9.859282
2016-07-11,9.65,9.87,9.59,9.62,2289400,9.465698
2016-07-05,9.59,9.73,9.35,9.62,3132300,9.465698
2016-06-27,9.60,9.69,9.15,9.60,3201300,9.446019
2016-06-20,10.15,10.22,9.45,9.66,4578000,9.505056
2016-06-13,10.19,10.23,9.60,10.07,4147500,9.908481
2016-06-06,10.10,10.41,10.02,10.25,4075900,10.085593
2016-05-31,10.31,10.48,9.96,10.09,6198700,9.92816
2016-05-23,10.17,10.49,10.11,10.29,2595200,10.124951
2016-05-16,10.45,10.74,10.12,10.17,2572400,9.948641
2016-05-09,10.94,11.23,10.16,10.46,6163300,10.232328
2016-05-02,10.91,11.38,10.85,10.97,2810400,10.731228
2016-04-25,11.05,11.16,10.81,10.86,1974600,10.623622
2016-04-18,10.92,11.20,10.83,11.04,2119800,10.799704
2016-04-11,11.01,11.22,10.82,10.98,3107300,10.74101
2016-04-04,10.98,11.14,10.80,10.96,3053300,10.721445
2016-03-28,10.43,11.00,10.40,10.99,3915700,10.750792
2016-03-21,10.38,10.60,10.24,10.42,3762000,10.193199
2016-03-14,9.61,10.42,9.61,10.38,4819000,10.15407
2016-03-07,9.59,9.82,9.37,9.64,3390000,9.430177
2016-02-29,9.39,9.84,9.32,9.59,4796300,9.381265
2016-02-22,9.40,9.75,9.23,9.38,3568200,9.175836
2016-02-16,9.50,9.95,9.16,9.31,4086500,9.049227
2016-02-08,10.22,10.50,8.89,9.45,8392000,9.185306
2016-02-01,10.18,10.66,9.94,10.32,5330900,10.030936
2016-01-25,9.93,10.37,9.51,10.23,5276600,9.943458
2016-01-19,9.72,10.00,9.18,9.93,4329600,9.651861
2016-01-11,10.11,10.14,9.36,9.63,4635700,9.360264
2016-01-04,10.61,10.97,9.82,10.03,6155100,9.74906
2015-12-28,10.85,10.96,10.76,10.77,1928000,10.468332
2015-12-21,10.61,10.96,10.60,10.89,2140300,10.584971
2015-12-14,10.57,10.82,10.41,10.58,4112200,10.283654
2015-12-07,10.64,10.92,10.30,10.60,4422000,10.303094
2015-11-30,10.50,10.86,10.29,10.61,3869300,10.312814
2015-11-23,10.57,10.61,10.32,10.48,2849500,10.186455
2015-11-16,9.44,10.65,9.43,10.57,6168000,10.215282
2015-11-09,9.53,9.89,9.25,9.43,3797400,9.11354
2015-11-02,9.47,9.99,9.27,9.56,6843000,9.239178
2015-10-26,8.84,9.35,8.82,9.16,3161300,8.8526
2015-10-19,9.18,9.35,8.57,8.85,3031700,8.553004
2015-10-12,9.27,9.29,8.71,9.20,3649100,8.891258
2015-10-05,8.74,9.30,8.57,9.28,3203300,8.968574
2015-09-28,8.89,8.92,8.43,8.71,3503800,8.417702
2015-09-21,9.13,9.19,8.84,8.90,2672000,8.601325
2015-09-14,9.23,9.26,8.96,9.10,4966700,8.794615
2015-09-08,9.21,9.32,8.98,9.23,4675700,8.920251
2015-08-31,9.21,9.32,8.91,9.08,5044000,8.775285
2015-08-24,8.68,9.37,8.57,9.22,7005700,8.910587
2015-08-17,9.90,10.13,9.12,9.15,4797500,8.790638
2015-08-10,9.82,10.10,9.62,9.96,3929300,9.568827
2015-08-03,10.29,10.52,9.74,9.82,5157800,9.434324
2015-07-27,10.15,10.40,10.01,10.26,4566000,9.857044
2015-07-20,10.27,10.42,10.12,10.15,2932100,9.751364
2015-07-13,10.48,10.66,10.19,10.23,4825600,9.828222
2015-07-06,10.69,10.79,10.37,10.44,5147300,10.029974
2015-06-29,11.30,11.36,10.72,10.79,17080500,10.366229
2015-06-22,11.41,11.47,11.28,11.35,7370000,10.904235
2015-06-15,11.26,11.56,11.16,11.37,4595500,10.92345
2015-06-08,11.28,11.38,11.11,11.30,4181100,10.856199
2015-06-01,11.25,11.71,11.01,11.27,8868400,10.827377
2015-05-26,11.31,11.41,11.18,11.24,2028700,10.798555
2015-05-18,11.19,11.67,11.15,11.36,2698400,10.860955
2015-05-11,11.04,11.30,10.95,11.21,2394900,10.717546
2015-05-04,10.19,11.28,10.17,11.08,7111100,10.593256
2015-04-27,10.73,10.77,10.05,10.15,2853300,9.704111
2015-04-20,10.47,10.85,10.37,10.71,2934900,10.239511
2015-04-13,10.68,10.81,10.35,10.40,2334600,9.943129
2015-04-06,10.89,11.09,10.59,10.72,3901500,10.249071
2015-03-30,10.93,11.15,10.72,10.93,3296100,10.449846
2015-03-23,11.16,11.37,10.66,10.88,3194300,10.402042
2015-03-16,10.93,11.23,10.75,11.18,2565600,10.688864
2015-03-09,10.84,11.07,10.58,10.86,2516600,10.38292
2015-03-02,11.10,11.39,10.80,10.84,3228900,10.3638
2015-02-23,11.23,11.49,11.00,11.09,2496000,10.602818
2015-02-17,10.95,11.40,10.94,11.26,2324400,10.713366
2015-02-09,11.02,11.14,10.72,10.95,3797900,10.418414
2015-02-02,10.50,11.50,10.18,11.03,8318900,10.494531
2015-01-26,10.54,10.75,10.29,10.54,5033100,10.028318
